"1883 National League Player Review
← 1882 | 1883 Hitting Statistics League Leaders | 1884 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Tom York,Cleveland,37,Top 25
Batting Average,Dan Brouthers,Buffalo,.374,Top 25
Doubles,Ned Williamson,Chicago,49,Top 25
Hits,Dan Brouthers,Buffalo,159,Top 25
Home Runs,Buck Ewing,New York,10,Top 25
On Base Percentage,Dan Brouthers,Buffalo,.397,Top 25
RBI,Dan Brouthers,Buffalo,97,Top 25
Runs,Joe Hornung,Boston,107,Top 25
Slugging Average,Dan Brouthers,Buffalo,.572,Top 25
Total Bases,Dan Brouthers,Buffalo,243,Top 25
Triples,Dan Brouthers,Buffalo,17,Top 25
Statistic,Name(s),Team(s),#,Top 25
1883 N.L. History | 1883 A.A. History | Year-by-Year History
