"1887 National League Pitcher Review
Pitching Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Complete Games,John Clarkson,Chicago,56,Top 25
ERA,Dan Casey,Philadelphia,2.86,Top 25
Games,John Clarkson,Chicago,60,Top 25
Saves,Lady Baldwin,Chicago,1,Top 25
Charlie Ferguson,Indianapolis
Bob Pettit,Chicago
Bill Stemmeyer,Boston
Mike Tiernan,New York
Larry Twitchell,Detroit
George Van Haltren,Chicago
Shutouts,Dan Casey,Philadelphia,4,Top 25
Strikeouts,John Clarkson,Chicago,237,Top 25
Winning Percentage,Charlie Getzien,Detroit,.690,Top 25
Wins,John Clarkson,Chicago,38,Top 25
Statistic,Name(s),Team(s),#,Top 25
