"1888 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Roger Connor,New York,73,Top 25
Batting Average,Cap Anson,Chicago,.344,Top 25
Doubles,Dan Brouthers,Detroit,33,Top 25
Jimmy Ryan,Chicago
Hits,Jimmy Ryan,Chicago,182,Top 25
Home Runs,Jimmy Ryan,Chicago,16,Top 25
On Base Percentage,Cap Anson,Chicago,.400,Top 25
RBI,Cap Anson,Chicago,84,Top 25
Runs,Dan Brouthers,Detroit,118,Top 25
Slugging Average,Jimmy Ryan,Chicago,.515,Top 25
Total Bases,Jimmy Ryan,Chicago,283,Top 25
Triples,Dick Johnston,Boston,18,Top 25
Statistic,Name(s),Team(s),#,Top 25
