"1987 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Los Angeles,29
ERA,San Francisco,3.68
Fewest Hits Allowed,Houston,"1,363"
Fewest Home Runs Allowed,St. Louis,129
Fewest Walks Allowed,Montreal,446
Saves,New York,51
Shutouts,Houston,13
Pittsburgh
Strikeouts,Houston,"1,137"
"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard | Retirements | Rookies List
Average Salary: $412,454.00
Minimum Salary: $62,500.00"
