"2025 National League Team Standings
2025 All-Star Game | 2025 Team Standings | 2025 World Series"
East,Team | Roster,W,L,T,WP,GB
Philadelphia Phillies,46,30,0,.605,-
New York Mets,45,31,0,.592,1.0
Atlanta Braves,34,40,0,.459,11.0
Washington Nationals,31,45,0,.408,15.0
Miami Marlins,30,44,0,.405,15.0
Central,Team | Roster,W,L,T,WP,GB
Chicago Cubs,45,30,0,.600,-
Milwaukee Brewers,41,35,0,.539,4.5
St. Louis Cardinals,41,35,0,.539,4.5
Cincinnati Reds,39,37,0,.513,6.5
Pittsburgh Pirates,30,47,0,.390,16.0
West,Team | Roster,W,L,T,WP,GB
Los Angeles Dodgers,47,30,0,.610,-
San Francisco Giants,42,34,0,.553,4.5
San Diego Padres,40,35,0,.533,6.0
Arizona Diamondbacks,38,37,0,.507,8.0
Colorado Rockies,17,59,0,.224,29.5
N.L.,Team | Roster,W,L,T,WP,GB
2025 National League Standings
