Year,Statistic,Name,Team,#
1952,Base on Balls,Ralph Kiner,Pittsburgh,110
1952,Batting Average,Stan Musial,St. Louis,.336
1952,Doubles,Stan Musial,St. Louis,42
1952,Hits,Stan Musial,St. Louis,194
1952,Home Runs,Ralph Kiner,Pittsburgh,37
1952,Hank Sauer,Chicago,,
1952,On Base Percentage,Jackie Robinson,Brooklyn,.440
1952,RBI,Hank Sauer,Chicago,121
1952,Runs,Solly Hemus,St. Louis,105
1952,Stan Musial,St. Louis,,
1952,Slugging Average,Stan Musial,St. Louis,.538
1952,Stolen Bases,Pee Wee Reese,Brooklyn,30
1952,Total Bases,Stan Musial,St. Louis,311
1952,Triples,Bobby Thomson,New York,14
1922,Base on Balls,Max Carey,Pittsburgh,80
1922,Batting Average,Rogers Hornsby,St. Louis,.401
1922,Doubles,Rogers Hornsby,St. Louis,46
1922,Hits,Rogers Hornsby,St. Louis,250
1922,Home Runs,Rogers Hornsby,St. Louis,42
1922,On Base Percentage,Rogers Hornsby,St. Louis,.459
1922,RBI,Rogers Hornsby,St. Louis,152
1922,Runs,Rogers Hornsby,St. Louis,141
1922,Slugging Average,Rogers Hornsby,St. Louis,.722
1922,Stolen Bases,Max Carey,Pittsburgh,51
1922,Total Bases,Rogers Hornsby,St. Louis,450
1922,Triples,Jake Daubert,Cincinnati,22
1981,Base on Balls,Mike Schmidt,Philadelphia,73
1981,Batting Average,Bill Madlock,Pittsburgh,.341
1981,Doubles,Bill Buckner,Chicago,35
1981,Hits,Pete Rose,Philadelphia,140
1981,Home Runs,Mike Schmidt,Philadelphia,31
1981,On Base Percentage,Mike Schmidt,Philadelphia,.439
1981,RBI,Mike Schmidt,Philadelphia,91
1981,Runs,Mike Schmidt,Philadelphia,78
1981,Slugging Average,Mike Schmidt,Philadelphia,.644
1981,Stolen Bases,Tim Raines,Montreal,71
1981,Total Bases,Mike Schmidt,Philadelphia,.228
1981,Triples,Craig Reynolds,Houston,12
1981,Gene Richards,San Diego,,
