Year,Statistic,Name,Team,#
2005,Complete Games,Chris Carpenter,St. Louis,7.0
2005,Dontrelle Willis,Florida,,
2005,ERA,Roger Clemens,Houston,1.87
2005,Games,Scott Eyre,San Francisco,86.0
2005,Saves,Chad Cordero,Washington,47.0
2005,Shutouts,Dontrelle Willis,Florida,5.0
2005,Strikeouts,Jake Peavy,San Diego,216.0
2005,Winning Percentage,Chris Carpenter,St. Louis,808.0
2005,Wins,Dontrelle Willis,Florida,22.0
1905,Complete Games,Irv Young,Boston,41.0
1905,ERA,Christy Mathewson,New York,1.28
1905,Games,Joe McGinnity,New York,46.0
1905,Togie Pittinger,Philadelphia,,
1905,Saves,Claud Elliott,New York,6.0
1905,Shutouts,Christy Mathewson,New York,8.0
1905,Strikeouts,Christy Mathewson,New York,206.0
1905,Winning Percentage,Sam Leever,Pittsburgh,800.0
1905,Wins,Christy Mathewson,New York,31.0
1988,Complete Games,Orel Hershiser,Los Angeles,15.0
1988,Danny Jackson,Cincinnati,,
1988,ERA,Joe Magrane,St. Louis,2.18
1988,Games,Rob Murphy,Cincinnati,76.0
1988,Saves,John Franco,Cincinnati,39.0
1988,Shutouts,Orel Hershiser,Los Angeles,8.0
1988,Strikeouts,Nolan Ryan,Houston,228.0
1988,Winning Percentage,David Cone,New York,870.0
1988,Wins,Orel Hershiser,Los Angeles,23.0
1988,Danny Jackson,Cincinnati,,
1975,Complete Games,Andy Messersmith,Los Angeles,19.0
1975,ERA,Randy Jones,San Diego,2.24
1975,Games,Gene Garber,Philadelphia,71.0
1975,Saves,Rawly Eastwick,Cincinnati,22.0
1975,Al Hrabosky,St. Louis,,
1975,Shutouts,Andy Messersmith,Los Angeles,7.0
1975,Strikeouts,Tom Seaver,New York,243.0
1975,Winning Percentage,Don Gullett,Cincinnati,789.0
1975,Wins,Tom Seaver,New York,22.0
1969,Complete Games,Bob Gibson,St. Louis,28.0
1969,ERA,Juan Marichal,San Francisco,2.1
1969,Games,Wayne Granger,Cincinnati,90.0
1969,Saves,Fred Gladding,Houston,29.0
1969,Shutouts,Juan Marichal,San Francisco,8.0
1969,Strikeouts,Fergie Jenkins,Chicago,273.0
1969,Winning Percentage,Tom Seaver,New York,781.0
1969,Wins,Tom Seaver,New York,25.0
1994,Complete Games,Greg Maddux,Atlanta,10.0
1994,ERA,Greg Maddux,Atlanta,1.56
1994,Games,Steve Reed,Colorado,61.0
1994,Saves,John Franco,New York,30.0
1994,Shutouts,Greg Maddux,Atlanta,3.0
1994,Ramon Martinez,Los Angeles,,
1994,Strikeouts,Andy Benes,San Diego,189.0
1994,Winning Percentage,Bret Saberhagen,New York,778.0
1994,Wins,Ken Hill,Montreal,16.0
1994,Greg Maddux,Atlanta,,
1919,Complete Games,Wilbur Cooper,Pittsburgh,27.0
1919,ERA,Grover Alexander,Chicago,1.72
1919,Games,Oscar Tuero,St. Louis,45.0
1919,Saves,Oscar Tuero,St. Louis,4.0
1919,Shutouts,Grover Alexander,Chicago,9.0
1919,Strikeouts,Hippo Vaughn,Chicago,141.0
1919,Winning Percentage,Dutch Ruether,Cincinnati,760.0
1919,Wins,Jesse Barnes,New York,25.0
1886,Complete Games,Tim Keefe,New York,62.0
1886,ERA,Henry Boyle,St. Louis,1.76
1886,Games,Tim Keefe,New York,64.0
1886,Saves,Charlie Ferguson,Philadelphia,2.0
1886,Shutouts,Lady Baldwin,Detroit,7.0
1886,Strikeouts,Lady Baldwin,Detroit,323.0
1886,Winning Percentage,Jocko Flynn,Chicago,793.0
1886,Wins,Lady Baldwin,Detroit,42.0
1886,Tim Keefe,New York,,
1947,Complete Games,Ewell Blackwell,Cincinnati,23.0
1947,ERA,Warren Spahn,Boston,2.33
1947,Games,Ken Trinkle,New York,62.0
1947,Saves,Hugh Casey,Brooklyn,18.0
1947,Shutouts,Warren Spahn,Boston,7.0
1947,Strikeouts,Ewell Blackwell,Cincinnati,193.0
1947,Winning Percentage,Larry Jansen,New York,808.0
1947,Wins,Ewell Blackwell,Cincinnati,22.0
2019,Complete Games,Sandy Alcantara,Miami Marlins,2.0
2019,Walker Buehler,Los Angeles Dodgers,2,
2019,Zach Eflin,Philadelphia Phillies,2,
2019,ERA,Hyun-Jin Ryu,Los Angeles Dodgers,2.32
2019,Games,Alex Claudio,Milwaukee Brewers,83.0
2019,Saves,Kirby Yates,San Diego Padres,41.0
2019,Shutouts,Sandy Alcantara,Miami Marlins,2.0
2019,Strikeouts,Jacob deGrom,New York Mets,255.0
2019,Winning Percentage,Walker Buehler,Los Angeles Dodgers,778.0
2019,Wins,Stephen Strasburg,Washington Nationals,18.0
1937,Complete Games,Jim Turner,Boston,24.0
1937,ERA,Jim Turner,Boston,2.38
1937,Games,Hugh Mulcahy,Philadelphia,56.0
1937,Saves,Mace Brown,Pittsburgh,7.0
1937,Cliff Melton,New York,,
1937,Shutouts,Lou Fette,Boston,5.0
1937,Lee Grissom,Cincinnati,,
1937,Jim Turner,Boston,,
1937,Strikeouts,Carl Hubbell,New York,159.0
1937,Winning Percentage,Carl Hubbell,New York,733.0
1937,Wins,Carl Hubbell,New York,22.0
1952,Complete Games,Robin Roberts,Philadelphia,30.0
1952,ERA,Hoyt Wilhelm,New York,2.43
1952,Games,Hoyt Wilhelm,New York,71.0
1952,Saves,Al Brazle,St. Louis,16.0
1952,Shutouts,Ken Raffensberger,Cincinnati,6.0
1952,Curt Simmons,Philadelphia,,
1952,Strikeouts,Warren Spahn,Boston,183.0
1952,Winning Percentage,Hoyt Wilhelm,New York,833.0
1952,Wins,Robin Roberts,Philadelphia,28.0
1922,Complete Games,Wilbur Cooper,Pittsburgh,27.0
1922,ERA,Phil Douglas,New York,2.63
1922,Games,Lou North,St. Louis,53.0
1922,Saves,Claude Jonnard,New York,5.0
1922,Shutouts,Johnny Morrison,Pittsburgh,5.0
1922,Dazzy Vance,Brooklyn,,
1922,Strikeouts,Dazzy Vance,Brooklyn,134.0
1922,Winning Percentage,Pete Donohue,Cincinnati,667.0
1922,Wins,Eppa Rixey,Cincinnati,25.0
1981,Complete Games,Fernando Valenzuela,Los Angeles,11.0
1981,ERA,Nolan Ryan,Houston,1.69
1981,Games,Gary Lucas,San Diego,57.0
1981,Saves,Bruce Sutter,St. Louis,25.0
1981,Shutouts,Fernando Valenzuela,Los Angeles,8.0
1981,Strikeouts,Fernando Valenzuela,Los Angeles,180.0
1981,Winning Percentage,Tom Seaver,Cincinnati,875.0
1981,Wins,Tom Seaver,Cincinnati,14.0
1893,Complete Games,Amos Rusie,New York,50.0
1893,ERA,Ted Breitenstein,St. Louis,3.18
1893,Games,Amos Rusie,New York,56.0
1893,Saves,Mark Baldwin,New York,2.0
1893,Tom Colcolough,Pittsburgh,,
1893,Frank Donnelly,Chicago,,
1893,Frank Dwyer,Cincinnati,,
1893,Tony Mullane,Cincinnati,,
1893,Shutouts,Red Ehret,Pittsburgh,4.0
1893,Amos Rusie,New York,,
1893,Strikeouts,Amos Rusie,New York,208.0
1893,Winning Percentage,Hank Gastright,Pittsburgh,750.0
1893,Wins,Frank Killen,Pittsburgh,36.0
2022,Complete Games,Sandy Alcantara,Miami Marlins,6.0
2022,ERA,Julio Urías,Los Angeles Dodgers,2.16
2022,Games,John Brebbia,San Francisco Giants,76.0
2022,Saves,Kenley Jansen,Atlanta Braves,41.0
2022,Shutouts,Sandy Alcantara,Miami Marlins,1.0
2022,Walker Buehler,Los Angeles Dodgers,1,
2022,Bryce Elder,Atlanta Braves,1,
2022,Hunter Greene,Cincinnati Reds,1,
2022,Chad Kuhl,Colorado Rockies,1,
2022,Jordan Montgomery,St. Louis Cardinals,1,
2022,Aaron Nola,Philadelphia Phillies,1,
2022,Strikeouts,Corbin Burnes,Milwaukee Brewers,243.0
2022,Winning Percentage,Kyle Wright,Atlanta Braves,808.0
2022,Wins,Kyle Wright,Atlanta Braves,21.0
1910,Complete Games,Mordecai Brown,Chicago,27.0
1910,Christy Mathewson,New York,,
1910,Nap Rucker,Brooklyn,,
1910,ERA,King Cole,Chicago,1.8
1910,Games,Al Mattern,Boston,51.0
1910,Saves,Mordecai Brown,Chicago,7.0
1910,Harry Gaspar,Cincinnati,,
1910,Shutouts,Mordecai Brown,Chicago,6.0
1910,Al Mattern,Boston,,
1910,Earl Moore,Philadelphia,,
1910,Nap Rucker,Brooklyn,,
1910,Strikeouts,Earl Moore,Philadelphia,185.0
1910,Winning Percentage,King Cole,Chicago,833.0
1910,Wins,Christy Mathewson,New York,27.0
1960,Complete Games,Lew Burdette,Milwaukee,18.0
1960,Vern Law,Pittsburgh,,
1960,Warren Spahn,Milwaukee,,
1960,ERA,Mike McCormick,San Francisco,2.7
1960,Games,Roy Face,Pittsburgh,68.0
1960,Saves,Lindy McDaniel,St. Louis,26.0
1960,Shutouts,Jack Sanford,San Francisco,6.0
1960,Strikeouts,Don Drysdale,Los Angeles,246.0
1960,Winning Percentage,Ernie Broglio,St. Louis,700.0
1960,Wins,Ernie Broglio,St. Louis,21.0
1960,Warren Spahn,Milwaukee,,
2010,Complete Games,Roy Hallady,Philadelphia,9.0
2010,ERA,Josh Johnson,Florida,2.3
2010,Games,Pedro Feliciano,New York,92.0
2010,Saves,Brian Wilson,San Francisco,48.0
2010,Shutouts,Roy Hallady,Philadelphia,4.0
2010,Strikeouts,Tim Lincecum,San Francisco,231.0
2010,Winning Percentage,Ubaldo Jimenez,Colorado,704.0
2010,Wins,Roy Hallady,Philadelphia,21.0
1896,Complete Games,Frank Killen,Pittsburgh,44.0
1896,ERA,Billy Rhines,Cincinnati,2.45
1896,Games,Frank Killen,Pittsburgh,52.0
1896,Saves,Cy Young,Cleveland,3.0
1896,Shutouts,Frank Killen,Pittsburgh,5.0
1896,Cy Young,Cleveland,,
1896,Strikeouts,Cy Young,Cleveland,140.0
1896,Winning Percentage,Bill Hoffer,Baltimore,781.0
1896,Wins,Frank Killen,Pittsburgh,30.0
1896,Kid Nichols,Boston,,
1909,Complete Games,Mordecai Brown,Chicago,32.0
1909,ERA,Christy Mathewson,New York,1.14
1909,Games,Mordecai Brown,Chicago,50.0
1909,Saves,Mordecai Brown,Chicago,7.0
1909,Shutouts,Orval Overall,Chicago,9.0
1909,Strikeouts,Orval Overall,Chicago,205.0
1909,Winning Percentage,Howie Camnitz,Pittsburgh,806.0
1909,Christy Mathewson,New York,,
1909,Wins,Mordecai Brown,Chicago,27.0
1984,Complete Games,Mario Soto,Cincinnati,13.0
1984,ERA,Alejandro Pena,Los Angeles,2.48
1984,Games,Ted Power,Cincinnati,78.0
1984,Saves,Bruce Sutter,St. Louis,45.0
1984,Shutouts,Joaquin Andujar,St. Louis,4.0
1984,Orel Hershiser,Los Angeles,,
1984,Alejandro Pena,Los Angeles,,
1984,Strikeouts,Dwight Gooden,New York,276.0
1984,Winning Percentage,Rick Sutcliffe,Chicago,941.0
1984,Wins,Joaquin Andujar,St. Louis,20.0
1979,Complete Games,Phil Niekro,Atlanta,23.0
1979,ERA,J.R. Richard,Houston,2.71
1979,Games,Kent Tekulve,Pittsburgh,94.0
1979,Saves,Bruce Sutter,Chicago,37.0
1979,Shutouts,Phil Niekro,Atlanta,5.0
1979,Steve Rogers,Montreal,,
1979,Tom Seaver,Cincinnati,,
1979,Strikeouts,J.R. Richard,Houston,313.0
1979,Winning Percentage,Tom Seaver,Cincinnati,727.0
1979,Wins,Joe Niekro,Houston,21.0
1979,Phil Niekro,Atlanta,,
1927,Complete Games,Jesse Haines,St. Louis,25.0
1927,Lee Meadows,Pittsburgh,,
1927,Dazzy Vance,Brooklyn,,
1927,ERA,Ray Kremer,Pittsburgh,2.47
1927,Games,Charlie Root,Chicago,48.0
1927,Jack Scott,Philadelphia,,
1927,Saves,Bill Sherdel,St. Louis,6.0
1927,Shutouts,Jesse Haines,St. Louis,6.0
1927,Strikeouts,Dazzy Vance,Brooklyn,184.0
1927,Winning Percentage,Larry Benton,Boston,708.0
1927,Wins,Charlie Root,Chicago,26.0
2009,Complete Games,Matt Cain,San Francisco,4.0
2009,Tim Lincecum,San Francisco,,
2009,ERA,Chris Carpenter,St. Louis,2.24
2009,Games,Pedro Feliciano,New York,88.0
2009,Saves,Heath Bell,San Diego,42.0
2009,Shutouts,Bronson Arroyo,Cincinnati,2.0
2009,Cole Hamels,Philadelphia,,
2009,J.A. Happ,Philadelphia,,
2009,Tim Lincecum,San Francisco,,
2009,Joel Pineiro,St. Louis,,
2009,Strikeouts,Tim Lincecum,San Francisco,261.0
2009,Winning Percentage,Chris Carpenter,St. Louis,810.0
2009,Wins,Adam Wainwright,St. Louis,19.0
1957,Complete Games,Warren Spahn,Milwaukee,18.0
1957,ERA,Johnny Podres,Brooklyn,2.66
1957,Games,Turk Lown,Chicago,67.0
1957,Saves,Clem Labine,Brooklyn,17.0
1957,Shutouts,Johnny Podres,Brooklyn,6.0
1957,Strikeouts,Jack Sanford,Philadelphia,188.0
1957,Winning Percentage,Bob Buhl,Milwaukee,720.0
1957,Wins,Warren Spahn,Milwaukee,21.0
2015,Complete Games,Jake Arrieta,Chicago,4.0
2015,Madison Bumgarner,San Francisco,,
2015,Clayton Kershaw,Los Angeles,,
2015,Max Scherzer,Washington,,
2015,ERA,Zack Greinke,Los Angeles,1.66
2015,Games,Kevin Siegrist,St. Louis,81.0
2015,Saves,Mark Melancon,Pittsburgh,51.0
2015,Shutouts,Jake Arrieta,Chicago,3.0
2015,Clayton Kershaw,Los Angeles,,
2015,Max Scherzer,Washington,,
2015,Strikeouts,Clayton Kershaw,Los Angeles,301.0
2015,Winning Percentage,Zack Greinke,Los Angeles,864.0
2015,Wins,Jake Arrieta,Chicago,22.0
1965,Complete Games,Sandy Koufax,Los Angeles,27.0
1965,ERA,Sandy Koufax,Los Angeles,2.04
1965,Games,Ted Abernathy,Chicago,84.0
1965,Saves,Ted Abernathy,Chicago,31.0
1965,Shutouts,Juan Marichal,San Francisco,10.0
1965,Strikeouts,Sandy Koufax,Los Angeles,382.0
1965,Winning Percentage,Sandy Koufax,Los Angeles,765.0
1965,Wins,Sandy Koufax,Los Angeles,26.0
1998,Complete Games,Curt Schilling,Philadelphia,15.0
1998,ERA,Greg Maddux,Atlanta,2.22
1998,Games,Rod Beck,Chicago,81.0
1998,Saves,Trevor Hoffman,San Diego,53.0
1998,Shutouts,Greg Maddux,Atlanta,5.0
1998,Strikeouts,Curt Schilling,Philadelphia,300.0
1998,Winning Percentage,John Smoltz,Atlanta,850.0
1998,Wins,Tom Glavine,Atlanta,20.0
1915,Complete Games,Grover Alexander,Philadelphia,36.0
1915,ERA,Grover Alexander,Philadelphia,1.22
1915,Games,Tom Hughes,Boston,50.0
1915,Saves,Tom Hughes,Boston,9.0
1915,Shutouts,Grover Alexander,Philadelphia,12.0
1915,Strikeouts,Grover Alexander,Philadelphia,241.0
1915,Winning Percentage,Grover Alexander,Philadelphia,756.0
1915,Wins,Grover Alexander,Philadelphia,31.0
1877,Complete Games,Jim Devlin,Louisville,61.0
1877,ERA,Tommy Bond,Boston,2.11
1877,Games,Jim Devlin,Louisville,61.0
1877,Saves,Cal McVey,Chicago,2.0
1877,Shutouts,Tommy Bond,Boston,6.0
1877,Strikeouts,Tommy Bond,Boston,170.0
1877,Winning Percentage,Tommy Bond,Boston,702.0
1877,Wins,Tommy Bond,Boston,40.0
1970,Complete Games,Fergie Jenkins,Chicago,24.0
1970,ERA,Tom Seaver,New York,2.82
1970,Games,Ron Herbel,San Diego,76.0
1970,Saves,Wayne Granger,Cincinnati,35.0
1970,Shutouts,Gaylord Perry,San Francisco,5.0
1970,Strikeouts,Tom Seaver,New York,283.0
1970,Winning Percentage,Bob Gibson,St. Louis,767.0
1970,Wins,Bob Gibson,St. Louis,23.0
1970,Gaylord Perry,San Francisco,,
1900,Complete Games,Pink Hawley,New York,34.0
1900,ERA,Rube Waddell,Pittsburgh,2.37
1900,Games,Bill Carrick,New York,45.0
1900,Saves,Frank Kitson,Brooklyn,4.0
1900,Shutouts,Clark Griffith,Chicago,4.0
1900,Noodles Hahn,Cincinnati,,
1900,Kid Nichols,Boston,,
1900,Cy Young,St. Louis,,
1900,Strikeouts,Noodles Hahn,Cincinnati,132.0
1900,Winning Percentage,Joe McGinnity,Brooklyn,778.0
1900,Wins,Joe McGinnity,Brooklyn,28.0
2000,Complete Games,Randy Johnson,Arizona,8.0
2000,Curt Schilling,Philadelphia,,
2000,ERA,Kevin Brown,Los Angeles,2.58
2000,Games,Steve Kline,St. Louis,83.0
2000,Saves,Antonio Alfonseca,Florida,45.0
2000,Shutouts,Greg Maddux,Atlanta,3.0
2000,Randy Johnson,Arizona,,
2000,Strikeouts,Randy Johnson,Arizona,347.0
2000,Winning Percentage,Randy Johnson,Arizona,731.0
2000,Wins,Tom Glavine,Atlanta,21.0
