Year,Statistic,Team,#
1909,Base on Balls,St. Louis,568.0
1909,Batting Average,Pittsburgh,260.0
1909,Doubles,Pittsburgh,218.0
1909,Hits,Pittsburgh,1332.0
1909,Home Runs,New York,26.0
1909,On Base Percentage,New York,329.0
1909,Runs,Pittsburgh,699.0
1909,Slugging Average,Pittsburgh,353.0
1909,Stolen Bases,Cincinnati,280.0
1909,Triples,Pittsburgh,92.0
1896,Base on Balls,Washington,516.0
1896,Batting Average,Baltimore,328.0
1896,Doubles,Philadelphia,234.0
1896,Hits,Baltimore,1548.0
1896,Home Runs,Philadelphia,49.0
1896,On Base Percentage,Baltimore,393.0
1896,Runs,Baltimore,995.0
1896,Slugging Average,Baltimore,429.0
1896,Stolen Bases,Baltimore,441.0
1896,Triples,Baltimore,100.0
1984,Base on Balls,Chicago,567.0
1984,Batting Average,Philadelphia,266.0
1984,Doubles,Philadelphia,248.0
1984,Hits,San Francisco,1499.0
1984,Home Runs,Philadelphia,147.0
1984,On Base Percentage,Philadelphia,335.0
1984,Runs,Chicago,762.0
1984,Slugging Average,Philadelphia,407.0
1984,Stolen Bases,St. Louis,220.0
1984,Triples,Houston,67.0
1979,Base on Balls,Cincinnati,614.0
1979,Batting Average,St. Louis,278.0
1979,Doubles,St. Louis,279.0
1979,Hits,St. Louis,1594.0
1979,Home Runs,Los Angeles,183.0
1979,On Base Percentage,Philadelphia,343.0
1979,Runs,Pittsburgh,775.0
1979,Slugging Average,Pittsburgh,416.0
1979,Stolen Bases,Houston,190.0
1979,Triples,St. Louis,63.0
1927,Base on Balls,St. Louis,484.0
1927,Batting Average,Pittsburgh,305.0
1927,Doubles,Chicago,266.0
1927,Hits,Pittsburgh,1648.0
1927,Home Runs,New York,109.0
1927,On Base Percentage,Pittsburgh,361.0
1927,Runs,New York,817.0
1927,Slugging Average,New York,427.0
1927,Stolen Bases,St. Louis,110.0
1927,Triples,St. Louis,79.0
1957,Base on Balls,Brooklyn,550.0
1957,Batting Average,St. Louis,274.0
1957,Doubles,Cincinnati,251.0
1957,Hits,St. Louis,1497.0
1957,Home Runs,Milwaukee,199.0
1957,On Base Percentage,Cincinnati,341.0
1957,Runs,Milwaukee,772.0
1957,Slugging Average,Milwaukee,442.0
1957,Stolen Bases,New York,64.0
1957,Triples,Milwaukee,62.0
1965,Base on Balls,Cincinnati,538.0
1965,Batting Average,Cincinnati,273.0
1965,Doubles,Cincinnati,268.0
1965,Hits,Cincinnati,1544.0
1965,Home Runs,Milwaukee,196.0
1965,On Base Percentage,Cincinnati,341.0
1965,Runs,Cincinnati,825.0
1965,Slugging Average,Cincinnati,439.0
1965,Stolen Bases,Los Angeles,172.0
1965,Triples,Cincinnati,61.0
1998,Base on Balls,San Francisco,678.0
1998,Batting Average,Colorado,291.0
1998,Doubles,Colorado,333.0
1998,Hits,Colorado,1640.0
1998,Home Runs,St. Louis,223.0
1998,On Base Percentage,Houston,359.0
1998,Runs,Houston,874.0
1998,Slugging Average,Colorado,461.0
1998,Stolen Bases,Pittsburgh,159.0
1998,Triples,Arizona,46.0
1915,Base on Balls,Boston,549.0
1915,Batting Average,St. Louis,254.0
1915,Doubles,Boston,231.0
1915,Hits,Cincinnati,1323.0
1915,Home Runs,Philadelphia,58.0
1915,On Base Percentage,Boston,321.0
1915,Runs,St. Louis,590.0
1915,Slugging Average,Chicago,342.0
1915,Stolen Bases,Pittsburgh,182.0
1915,Triples,St. Louis,92.0
1877,Base on Balls,Cincinnati,78.0
1877,Batting Average,Boston,296.0
1877,Doubles,Boston,91.0
1877,Hits,Boston,700.0
1877,Home Runs,Louisville,9.0
1877,On Base Percentage,Boston,314.0
1877,Runs,Boston,419.0
1877,Slugging Average,Boston,370.0
1877,Triples,Boston,37.0
1970,Base on Balls,San Francisco,729.0
1970,Batting Average,Pittsburgh,270.0
1970,Doubles,San Francisco,257.0
1970,Hits,Pittsburgh,1522.0
1970,Home Runs,Cincinnati,191.0
1970,On Base Percentage,San Francisco,353.0
1970,Runs,San Francisco,831.0
1970,Slugging Average,Cincinnati,436.0
1970,Stolen Bases,Los Angeles,138.0
1970,Triples,Pittsburgh,70.0
1900,Base on Balls,Philadelphia,440.0
1900,Batting Average,Brooklyn,293.0
1900,Doubles,Chicago,202.0
1900,Hits,Philadelphia,1439.0
1900,Home Runs,Boston,48.0
1900,On Base Percentage,Brooklyn,359.0
1900,Runs,Brooklyn,816.0
1900,Slugging Average,Brooklyn,383.0
1900,Stolen Bases,Brooklyn,274.0
1900,Triples,Pittsburgh,100.0
2000,Base on Balls,San Francisco,709.0
2000,Batting Average,Colorado,294.0
2000,Doubles,Colorado,320.0
2000,Hits,Colorado,1664.0
2000,Home Runs,Houston,249.0
2000,On Base Percentage,Colorado,362.0
2000,Runs,Colorado,968.0
2000,Slugging Average,Houston,477.0
2000,Stolen Bases,Florida,168.0
2000,Triples,Colorado,53.0
1932,Base on Balls,Philadelphia,446.0
1932,Batting Average,Philadelphia,292.0
1932,Doubles,Philadelphia,330.0
1932,Hits,Philadelphia,1608.0
1932,Home Runs,Philadelphia,122.0
1932,On Base Percentage,Philadelphia,348.0
1932,Runs,Philadelphia,844.0
1932,Slugging Average,Philadelphia,442.0
1932,Stolen Bases,St. Louis,92.0
1932,Triples,Pittsburgh,90.0
1942,Base on Balls,Brooklyn,572.0
1942,Batting Average,St. Louis,268.0
1942,Doubles,St. Louis,282.0
1942,Hits,St. Louis,1454.0
1942,Home Runs,New York,109.0
1942,On Base Percentage,St. Louis,338.0
1942,Runs,St. Louis,755.0
1942,Slugging Average,St. Louis,379.0
1942,Stolen Bases,Brooklyn,81.0
1942,Triples,St. Louis,69.0
1883,Base on Balls,Detroit,166.0
1883,Batting Average,Buffalo,284.0
1883,Doubles,Chicago,277.0
1883,Hits,Buffalo,1058.0
1883,Home Runs,Boston,34.0
1883,On Base Percentage,Buffalo,311.0
1883,Runs,Chicago,679.0
1883,Slugging Average,Boston,408.0
1883,Triples,Boston,86.0
1991,Base on Balls,Pittsburgh,620.0
1991,Batting Average,Pittsburgh,263.0
1991,Doubles,Pittsburgh,259.0
1991,Hits,Pittsburgh,1433.0
1991,Home Runs,Cincinnati,164.0
1991,On Base Percentage,Pittsburgh,342.0
1991,Runs,Pittsburgh,768.0
1991,Slugging Average,Cincinnati,403.0
1991,Stolen Bases,Montreal,221.0
1991,Triples,St. Louis,53.0
1905,Base on Balls,New York,517.0
1905,Batting Average,New York,273.0
1905,Doubles,New York,191.0
1905,Hits,Cincinnati,1401.0
1905,Home Runs,New York,39.0
1905,On Base Percentage,New York,351.0
1905,Runs,New York,780.0
1905,Slugging Average,New York,368.0
1905,Stolen Bases,New York,291.0
1905,Triples,Cincinnati,101.0
1988,Base on Balls,Pittsburgh,553.0
1988,Batting Average,Chicago,261.0
1988,Doubles,Chicago,262.0
1988,Hits,Chicago,1481.0
1988,Home Runs,New York,152.0
1988,On Base Percentage,New York,328.0
1988,Runs,New York,703.0
1988,Slugging Average,New York,396.0
1988,Stolen Bases,St. Louis,234.0
1988,Triples,Montreal,48.0
1975,Base on Balls,Cincinnati,691.0
1975,Batting Average,St. Louis,273.0
